date,open,high,low,close,volume,adj_close,change_percent,avg_vol_20d
2008-02-07,131.8,134.79,131.73,133.93,297359812,97.9653,0.661415349,292243482
2008-02-08,133.09,134.22,132.1,133.07,221620094,97.3363,-0.642064078,286544157
2008-02-11,133.1,134.23,132.04,133.75,188500609,97.8337,0.511011822,282618407.8
2008-02-12,134.91,136.31,133.98,134.99,256384891,98.7407,0.927083408,286938421.9
2008-02-13,136.01,137.1,135.14,136.37,181866094,99.7501,1.02227349,284032261.7
2008-02-14,136.95,137,134.79,135.17,215011906,98.8723,-0.879999118,275842643
2008-02-15,134.55,136.1,133.36,135.14,153923812,98.8504,-0.022149783,263644613.3
2008-02-19,136.69,136.89,134.61,135.52,145091703,99.1284,0.281233055,253478728.1
2008-02-20,133.99,137.6,133.76,135.92,220510797,99.4209,0.295071846,242717566.4
2008-02-21,136.66,137.01,134.07,134.79,200979391,98.5944,-0.83131414,227207790.7
2008-02-22,134.97,135.85,132.86,135.62,205419906,99.2015,0.615755053,224493790.7
2008-02-25,135.54,137.65,134.78,137.33,189754500,100.4523,1.260868031,220467854.7
2008-02-26,136.75,138.95,136.5,138.36,212243297,101.2057,0.750007715,220201075
2008-02-27,137.56,139.14,137.41,138.22,168124188,101.1033,-0.101180072,220173409.4
2008-02-28,137.24,137.96,136.55,136.87,169759016,100.1158,-0.976723806,211864449.3
2008-02-29,135.6,137.0249,132.78,133.82,252612188,97.8849,-2.228319606,207348783.7
2008-03-03,133.14,133.81,132.24,133.5,189416000,97.6508,-0.23915844,206494779
2008-03-04,132.23,133.4,130.99,132.99,282342406,97.2777,-0.382075723,214379664.1
2008-03-05,133.41,134.77,132.34,133.83,270456094,97.8922,0.631696679,213572375.1
2008-03-06,132.98,133.22,130.55,131.06,247444891,95.866,-2.069827831,213441079.8
2008-03-07,129.63,131.74,128.58,129.71,326349875,94.8785,-1.030083658,214890582.9
2008-03-10,129.81,129.93,127.59,128,235480094,93.6277,-1.318317638,215583582.9
2008-03-11,130.72,132.72,127.7152,132.6,341471812,96.9925,3.593808243,223232143.1
2008-03-12,132.73,133.77,131.16,131.36,228484609,96.0855,-0.93512385,221837129
